Date,Open,High,Low,Close,Adj Close,Volume
2023-01-20,234.860001,240.740005,234.509995,240.220001,236.814438,35389800
2023-01-23,241.100006,245.169998,239.649994,242.580002,239.140976,31934000
2023-01-24,242.500000,243.949997,240.440002,242.039993,238.608658,40234400
2023-01-25,234.479996,243.300003,230.899994,240.610001,237.198914,66526600
2023-01-26,243.649994,248.309998,242.000000,248.000000,244.484161,33454500
2023-01-27,248.990005,249.830002,246.830002,248.160004,244.641891,26498900
2023-01-30,244.509995,245.600006,242.199997,242.710007,239.269135,25867400
2023-01-31,243.449997,247.949997,242.949997,247.809998,244.296844,26541100
2023-02-01,248.000000,255.179993,245.470001,252.750000,249.166824,31259900
2023-02-02,258.820007,264.690002,257.250000,264.600006,260.848846,39940400
2023-02-03,259.540009,264.200012,257.100006,258.350006,254.687424,29077300
2023-02-06,257.440002,258.299988,254.779999,256.769989,253.129822,22518000
2023-02-07,260.529999,268.769989,260.079987,267.559998,263.766846,50841400
2023-02-08,273.200012,276.760010,266.209991,266.730011,262.948639,54686000
2023-02-09,273.799988,273.980011,262.799988,263.619995,259.882721,42375100
2023-02-10,261.529999,264.089996,260.660004,263.100006,259.370056,25818500
2023-02-13,267.640015,274.600006,267.149994,271.320007,267.473572,44630900
2023-02-14,272.670013,274.970001,269.279999,272.170013,268.311554,37047900
2023-02-15,268.320007,270.730011,266.179993,269.320007,266.166901,28922400
2023-02-16,264.019989,266.739990,261.899994,262.149994,259.080841,29603600
2023-02-17,259.390015,260.089996,256.000000,258.059998,255.038696,30000100
2023-02-21,254.479996,255.490005,251.589996,252.669998,249.711823,28397400
2023-02-22,254.089996,254.339996,250.339996,251.509995,248.565414,22491100
2023-02-23,255.559998,256.839996,250.479996,254.770004,251.787247,29219100
2023-02-24,249.960007,251.000000,248.100006,249.220001,246.302246,24990900
2023-02-27,252.460007,252.820007,249.389999,250.160004,247.231216,21190000
2023-02-28,249.070007,251.490005,248.729996,249.419998,246.499893,22491000
2023-03-01,250.759995,250.929993,245.789993,246.270004,243.386765,27565300
2023-03-02,246.550003,251.399994,245.610001,251.110001,248.170120,24808200
2023-03-03,252.190002,255.619995,251.389999,255.289993,252.301163,30760100
2023-03-06,256.429993,260.119995,255.979996,256.869995,253.862656,24109800
2023-03-07,256.299988,257.690002,253.389999,254.149994,251.174500,21473200
2023-03-08,254.039993,254.539993,250.809998,253.699997,250.729767,17340200
2023-03-09,255.820007,259.559998,251.580002,252.320007,249.365967,26653400
2023-03-10,251.080002,252.789993,247.600006,248.589996,245.679596,28333900
2023-03-13,247.399994,257.910004,245.729996,253.919998,250.947220,33339700
2023-03-14,256.750000,261.070007,255.860001,260.790009,257.736786,33620300
2023-03-15,259.980011,266.480011,259.209991,265.440002,262.332336,46028000
2023-03-16,265.209991,276.559998,263.279999,276.200012,272.966370,54768800
2023-03-17,278.260010,283.329987,276.320007,279.429993,276.158539,69527400
2023-03-20,276.980011,277.480011,269.850006,272.230011,269.042816,43466600
2023-03-21,274.880005,275.000000,269.519989,273.779999,270.574707,34558700
2023-03-22,273.399994,281.040009,272.179993,272.290009,269.102173,34873300
2023-03-23,277.940002,281.059998,275.200012,277.660004,274.409241,36610900
2023-03-24,277.239990,280.630005,275.279999,280.570007,277.285187,28172000
2023-03-27,280.500000,281.459991,275.519989,276.380005,273.144257,26840200
2023-03-28,275.790009,276.140015,272.049988,275.230011,272.007721,21878600
2023-03-29,278.959991,281.140015,278.410004,280.510010,277.225922,25087000
2023-03-30,284.230011,284.459991,281.480011,284.049988,280.724457,25053400
2023-03-31,283.730011,289.269989,283.000000,288.299988,284.924683,32766000
2023-04-03,286.519989,288.269989,283.950012,287.230011,283.867218,24883300
2023-04-04,287.230011,290.450012,285.670013,287.179993,283.817810,25824300
2023-04-05,285.850006,287.149994,282.920013,284.339996,281.011047,22064800
2023-04-06,283.209991,292.079987,282.029999,291.600006,288.186066,29770300
2023-04-10,289.209991,289.600006,284.709991,289.390015,286.001923,23103000
2023-04-11,285.750000,285.980011,281.640015,282.829987,279.518738,27276600
2023-04-12,284.790009,287.010010,281.959991,283.489990,280.171021,27403400
2023-04-13,283.589996,289.899994,283.170013,289.839996,286.446655,24222700
2023-04-14,287.000000,288.480011,283.690002,286.140015,282.789978,20987900
2023-04-17,289.929993,291.600006,286.160004,288.799988,285.418823,23836200
2023-04-18,291.570007,291.760010,287.010010,288.369995,284.993866,20161800
2023-04-19,285.989990,289.049988,284.540009,288.450012,285.072968,17150300
2023-04-20,285.250000,289.029999,285.079987,286.109985,282.760315,23244400
2023-04-21,285.010010,286.269989,283.059998,285.760010,282.414459,21676400
2023-04-24,282.089996,284.950012,278.720001,281.769989,278.471130,26611000
2023-04-25,279.510010,281.600006,275.369995,275.420013,272.195557,45772200
2023-04-26,296.700012,299.570007,292.730011,295.369995,291.911896,64599200
2023-04-27,295.970001,305.200012,295.250000,304.829987,301.261169,46462600
2023-04-28,304.010010,308.929993,303.309998,307.260010,303.662720,36446700
2023-05-01,306.970001,308.600006,305.149994,305.559998,301.982605,21294100
2023-05-02,307.760010,309.179993,303.910004,305.410004,301.834381,26404400
2023-05-03,306.619995,308.609985,304.089996,304.399994,300.836151,22360800
2023-05-04,306.239990,307.760010,303.399994,305.410004,301.834381,22519900
2023-05-05,305.720001,311.970001,304.269989,310.649994,307.013031,28181200
2023-05-08,310.130005,310.200012,306.089996,308.649994,305.036438,21318600
2023-05-09,308.000000,310.040009,306.309998,307.000000,303.405762,21340800
2023-05-10,308.619995,313.000000,307.670013,312.309998,308.653595,30078000
2023-05-11,310.100006,311.119995,306.260010,310.109985,306.479340,31680200
2023-05-12,310.549988,310.649994,306.600006,308.970001,305.352722,19758100
2023-05-15,309.100006,309.899994,307.589996,309.459991,305.836975,16336500
2023-05-16,309.829987,313.709991,309.829987,311.739990,308.090240,26730300
2023-05-17,312.290009,314.429993,310.739990,314.000000,311.002197,24315000
2023-05-18,314.529999,319.040009,313.720001,318.519989,315.479034,27276000
2023-05-19,316.739990,318.750000,316.369995,318.339996,315.300720,27529500
2023-05-22,318.600006,322.589996,318.010010,321.179993,318.113678,24115700
2023-05-23,320.029999,322.720001,315.250000,315.260010,312.250153,30797200
2023-05-24,314.730011,316.500000,312.609985,313.850006,310.853638,23384900
2023-05-25,323.239990,326.899994,320.000000,325.920013,322.808411,43301700
2023-05-26,324.019989,333.399994,323.880005,332.890015,329.711884,36630600
2023-05-30,335.230011,335.739990,330.519989,331.209991,328.047882,29503100
2023-05-31,332.290009,335.940002,327.329987,328.390015,325.254822,45950600
2023-06-01,325.929993,333.529999,324.720001,332.579987,329.404816,26773900
2023-06-02,334.250000,337.500000,332.549988,335.399994,332.197876,25864000
2023-06-05,335.220001,338.559998,334.660004,335.940002,332.732758,21307100
2023-06-06,335.329987,335.369995,332.170013,333.679993,330.494293,20396200
2023-06-07,331.649994,334.489990,322.500000,323.380005,320.292664,40717100
2023-06-08,323.940002,326.640015,323.350006,325.260010,322.154694,23277700
2023-06-09,324.989990,329.989990,324.410004,326.790009,323.670105,22514900
2023-06-12,328.579987,332.100006,325.160004,331.850006,328.681793,24260300
2023-06-13,334.470001,336.980011,330.390015,334.290009,331.098511,22951300
2023-06-14,334.339996,339.040009,332.809998,337.339996,334.119354,26003800
2023-06-15,337.480011,349.839996,337.200012,348.100006,344.776642,38899100
2023-06-16,351.320007,351.470001,341.950012,342.329987,339.061707,46533600
2023-06-20,339.309998,342.079987,335.859985,338.049988,334.822571,26375400
2023-06-21,336.369995,337.730011,332.070007,333.559998,330.375427,25117800
2023-06-22,334.119995,340.119995,333.339996,339.709991,336.466736,23556800
2023-06-23,334.359985,337.959991,333.450012,335.019989,331.821472,23084700
2023-06-26,333.720001,336.109985,328.489990,328.600006,325.462830,21520600
